,,,,,,,,TOA5,5466,CR350,5466.1,CR350-CELL220.Std.01.05,CPU:SchoolA_1_Roof_script.CRB,52389,SchoolA_1_Roof
TIMESTAMP,RECORD,BP_mbar_Avg,RH_Avg,AirT_C_Avg,DP_C_Avg,WS_ms_Avg,WindDir_Avg,RainITX_mm,MetSENS_Status,BlackGlobe_C_Avg,TdC_Avg,TwC_Avg,WBGT_C_Avg,logger_BattV_Avg,logger_Temp_C_Avg
TS,RN,mbar,%RH,Deg C,Deg C,meters/second,degrees,,,Deg C,Deg C,Deg C,,Volts,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg
2024-04-06 01:35:00,426,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:36:00,427,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:37:00,428,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:38:00,429,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:39:00,430,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:40:00,431,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:41:00,432,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:42:00,433,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.08
2024-04-06 01:43:00,434,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:44:00,435,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
